,PassengerId,Survived,Age Bracket,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
21,149,0,1,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,S
22,152,1,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C2,S
23,171,0,3,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,S
24,175,0,2,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A7,C
25,178,0,2,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C49,C
26,184,1,0,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F4,S
27,194,1,0,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S
28,195,1,2,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,B4,C
29,196,1,2,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,B80,C
30,206,0,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G6,S
31,210,1,1,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,A31,C
32,216,1,1,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,D36,C
33,219,1,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,D15,C
34,225,1,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943,90.0,C93,S
35,231,1,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973,83.475,C83,S
36,246,0,2,1,"Minahan, Dr. William Edward",male,44.0,2,0,19928,90.0,C78,Q
37,249,1,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,D35,S
38,252,0,1,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,347054,10.4625,G6,S
39,253,0,3,1,"Stead, Mr. William Thomas",male,62.0,0,0,113514,26.55,C87,S
40,258,1,1,1,"Cherry, Miss. Gladys",female,30.0,0,0,110152,86.5,B77,S
41,263,0,2,1,"Taussig, Mr. Emil",male,52.0,1,1,110413,79.65,E67,S
42,264,0,1,1,"Harrison, Mr. William",male,40.0,0,0,112059,0.0,B94,S
43,269,1,2,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582,153.4625,C125,S
44,270,1,1,1,"Bissette, Miss. Amelia",female,35.0,0,0,PC 17760,135.6333,C99,S
45,274,0,1,1,"Natsch, Mr. Charles H",male,37.0,0,1,PC 17596,29.7,C118,C
46,276,1,3,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,D7,S
47,292,1,0,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967,91.0792,B49,C
48,293,0,1,2,"Levy, Mr. Rene Jacques",male,36.0,0,0,SC/Paris 2163,12.875,D,C
49,298,0,0,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781,151.55,C22 C26,S
50,306,1,0,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S
51,308,1,0,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,PC 17758,108.9,C65,C
52,310,1,1,1,"Francatelli, Miss. Laura Mabel",female,30.0,0,0,PC 17485,56.9292,E36,C
53,311,1,1,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767,83.1583,C54,C
54,319,1,1,1,"Wick, Miss. Mary Natalie",female,31.0,0,2,36928,164.8667,C7,S
55,320,1,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966,134.5,E34,C
56,326,1,1,1,"Young, Miss. Marie Grice",female,36.0,0,0,PC 17760,135.6333,C32,C
57,328,1,1,2,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,28551,13.0,D,S
58,330,1,0,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361,57.9792,B18,C
59,332,0,2,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S
60,333,0,1,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,C91,S
61,337,0,1,1,"Pears, Mr. Thomas Clinton",male,29.0,1,0,113776,66.6,C2,S
62,338,1,2,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966,134.5,E40,C
63,340,0,2,1,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784,35.5,T,S
64,341,1,0,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080,26.0,F2,S
65,346,1,1,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733,13.0,F33,S
66,357,1,1,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,113505,55.0,E33,S
67,367,1,2,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813,75.25,D37,C
68,370,1,1,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,PC 17477,69.3,B35,C
69,371,1,1,1,"Harder, Mr. George Achilles",male,25.0,1,0,11765,55.4417,E50,C
70,391,1,1,1,"Carter, Mr. William Ernest",male,36.0,1,2,113760,120.0,B96 B98,S
71,394,1,1,1,"Newell, Miss. Marjorie",female,23.0,1,0,35273,113.275,D36,C
72,395,1,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0,0,2,PP 9549,16.7,G6,S
73,413,1,1,1,"Minahan, Miss. Daisy E",female,33.0,1,0,19928,90.0,C78,Q
74,430,1,1,3,"Pickard, Mr. Berk (Berk Trembisky)",male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S
75,431,1,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564,26.55,C52,S
76,435,0,2,1,"Silvey, Mr. William Baird",male,50.0,1,0,13507,55.9,E44,S
77,436,1,0,1,"Carter, Miss. Lucile Polk",female,14.0,1,2,113760,120.0,B96 B98,S
78,446,1,0,1,"Dodge, Master. Washington",male,4.0,0,2,33638,81.8583,A34,S
79,450,1,2,1,"Peuchen, Major. Arthur Godfrey",male,52.0,0,0,113786,30.5,C104,S
80,453,0,1,1,"Foreman, Mr. Benjamin Laventall",male,30.0,0,0,113051,27.75,C111,C
81,454,1,2,1,"Goldenberg, Mr. Samuel L",male,49.0,1,0,17453,89.1042,C92,C
82,457,0,3,1,"Millet, Mr. Francis Davis",male,65.0,0,0,13509,26.55,E38,S
83,461,1,2,1,"Anderson, Mr. Harry",male,48.0,0,0,19952,26.55,E12,S
84,463,0,2,1,"Gee, Mr. Arthur H",male,47.0,0,0,111320,38.5,E63,S
85,474,1,1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23.0,0,0,SC/AH Basle 541,13.7917,D,C
86,485,1,1,1,"Bishop, Mr. Dickinson H",male,25.0,1,0,11967,91.0792,B49,C
87,487,1,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,1,0,19943,90.0,C93,S
88,488,0,2,1,"Kent, Mr. Edward Austin",male,58.0,0,0,11771,29.7,B37,C
89,493,0,2,1,"Molson, Mr. Harry Markland",male,55.0,0,0,113787,30.5,C30,S
90,497,1,2,1,"Eustis, Miss. Elizabeth Mussey",female,54.0,1,0,36947,78.2667,D20,C
91,499,0,1,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,113781,151.55,C22 C26,S
92,505,1,0,1,"Maioni, Miss. Roberta",female,16.0,0,0,110152,86.5,B79,S
93,506,0,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C65,C
94,513,1,1,1,"McGough, Mr. James Robert",male,36.0,0,0,PC 17473,26.2875,E25,S
95,516,0,2,1,"Walker, Mr. William Anderson",male,47.0,0,0,36967,34.0208,D46,S
96,517,1,1,2,"Lemore, Mrs. (Amelia Milley)",female,34.0,0,0,C.A. 34260,10.5,F33,S
97,521,1,1,1,"Perreault, Miss. Anne",female,30.0,0,0,12749,93.5,B73,S
98,524,1,2,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,0,1,111361,57.9792,B18,C
99,537,0,2,1,"Butt, Major. Archibald Willingham",male,45.0,0,0,113050,26.55,B38,S
100,540,1,1,1,"Frolicher, Miss. Hedwig Margaritha",female,22.0,0,2,13568,49.5,B39,C
101,541,1,1,1,"Crosby, Miss. Harriet R",female,36.0,0,2,WE/P 5735,71.0,B22,S
102,545,0,2,1,"Douglas, Mr. Walter Donald",male,50.0,1,0,PC 17761,106.425,C86,C
103,551,1,0,1,"Thayer, Mr. John Borland Jr",male,17.0,0,2,17421,110.8833,C70,C
104,557,1,2,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,A16,C
105,559,1,1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39.0,1,1,110413,79.65,E67,S
106,572,1,2,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,2,0,11769,51.4792,C101,S
107,573,1,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,0,0,PC 17474,26.3875,E25,S
108,578,1,1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,39.0,1,0,13507,55.9,E44,S
109,582,1,1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39.0,1,1,17421,110.8833,C68,C
110,584,0,1,1,"Ross, Mr. John Hugo",male,36.0,0,0,13049,40.125,A10,C
111,586,1,0,1,"Taussig, Miss. Ruth",female,18.0,0,2,110413,79.65,E68,S
112,588,1,2,1,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,1,1,13567,79.2,B41,C
113,592,1,2,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52.0,1,0,36947,78.2667,D20,C
114,600,1,2,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49.0,1,0,PC 17485,56.9292,A20,C
115,610,1,1,1,"Shutes, Miss. Elizabeth W",female,40.0,0,0,PC 17582,153.4625,C125,S
116,619,1,0,2,"Becker, Miss. Marion Louise",female,4.0,2,1,230136,39.0,F4,S
117,622,1,2,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1,0,11753,52.5542,D19,S
118,626,0,3,1,"Sutton, Mr. Frederick",male,61.0,0,0,36963,32.3208,D50,S
119,628,1,1,1,"Longley, Miss. Gretchen Fiske",female,21.0,0,0,13502,77.9583,D9,S
120,633,1,1,1,"Stahelin-Maeglin, Dr. Max",male,32.0,0,0,13214,30.5,B50,C
121,642,1,1,1,"Sagesser, Mlle. Emma",female,24.0,0,0,PC 17477,69.3,B35,C
122,646,1,2,1,"Harper, Mr. Henry Sleeper",male,48.0,1,0,PC 17572,76.7292,D33,C
123,648,1,2,1,"Simonius-Blumer, Col. Oberst Alfons",male,56.0,0,0,13213,35.5,A26,C
124,660,0,2,1,"Newell, Mr. Arthur Webster",male,58.0,0,2,35273,113.275,D48,C
125,663,0,2,1,"Colley, Mr. Edward Pomeroy",male,47.0,0,0,5727,25.5875,E58,S
126,672,0,1,1,"Davidson, Mr. Thornton",male,31.0,1,0,F.C. 12750,52.0,B71,S
127,682,1,1,1,"Hassab, Mr. Hammad",male,27.0,0,0,PC 17572,76.7292,D49,C
128,691,1,1,1,"Dick, Mr. Albert Adrian",male,31.0,1,0,17474,57.0,B20,S
129,699,0,2,1,"Thayer, Mr. John Borland",male,49.0,1,1,17421,110.8833,C68,C
130,700,0,2,3,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42.0,0,0,348121,7.65,F G63,S
131,702,1,1,1,"Silverthorne, Mr. Spencer Victor",male,35.0,0,0,PC 17475,26.2875,E24,S
132,708,1,2,1,"Calderhead, Mr. Edward Pennington",male,42.0,0,0,PC 17476,26.2875,E24,S
133,711,1,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,0,0,PC 17482,49.5042,C90,C
134,713,1,2,1,"Taylor, Mr. Elmer Zebley",male,48.0,1,0,19996,52.0,C126,S
135,716,0,0,3,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19.0,0,0,348124,7.65,F G73,S
136,718,1,1,2,"Troutt, Miss. Edwina Celia ""Winnie""",female,27.0,0,0,34218,10.5,E101,S
137,725,1,1,1,"Chambers, Mr. Norman Campbell",male,27.0,1,0,113806,53.1,E8,S
138,742,0,1,1,"Cavendish, Mr. Tyrell William",male,36.0,1,0,19877,78.85,C46,S
139,749,0,0,1,"Marvin, Mr. Daniel Warner",male,19.0,1,0,113773,53.1,D30,S
140,752,1,0,3,"Moor, Master. Meier",male,6.0,0,1,392096,12.475,E121,S
141,760,1,1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33.0,0,0,110152,86.5,B77,S
142,764,1,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,1,2,113760,120.0,B96 B98,S
143,766,1,2,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51.0,1,0,13502,77.9583,D11,S
144,773,0,2,2,"Mack, Mrs. (Mary)",female,57.0,0,0,S.O./P.P. 3,10.5,E77,S
145,782,1,0,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,1,0,17474,57.0,B20,S
146,783,0,1,1,"Long, Mr. Milton Clyde",male,29.0,0,0,113501,30.0,D6,S
147,790,0,2,1,"Guggenheim, Mr. Benjamin",male,46.0,0,0,PC 17593,79.2,B82 B84,C
148,797,1,2,1,"Leader, Dr. Alice (Farnham)",female,49.0,0,0,17465,25.9292,D17,S
149,803,1,0,1,"Carter, Master. William Thornton II",male,11.0,1,2,113760,120.0,B96 B98,S
150,807,0,1,1,"Andrews, Mr. Thomas Jr",male,39.0,0,0,112050,0.0,A36,S
151,810,1,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,1,0,113806,53.1,E8,S
152,821,1,2,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,1,1,12749,93.5,B69,S
153,824,1,1,3,"Moor, Mrs. (Beila)",female,27.0,0,1,392096,12.475,E121,S
154,836,1,1,1,"Compton, Miss. Sara Rebecca",female,39.0,1,1,PC 17756,83.1583,E49,C
155,854,1,0,1,"Lines, Miss. Mary Conover",female,16.0,0,1,PC 17592,39.4,D28,S
156,858,1,2,1,"Daly, Mr. Peter Denis ",male,51.0,0,0,113055,26.55,E17,S
157,863,1,2,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48.0,0,0,17466,25.9292,D17,S
158,868,0,1,1,"Roebling, Mr. Washington Augustus II",male,31.0,0,0,PC 17590,50.4958,A24,S
159,872,1,2,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,1,1,11751,52.5542,D35,S
160,873,0,1,1,"Carlsson, Mr. Frans Olof",male,33.0,0,0,695,5.0,B51 B53 B55,S
161,880,1,2,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56.0,0,1,11767,83.1583,C50,C
162,888,1,0,1,"Graham, Miss. Margaret Edith",female,19.0,0,0,112053,30.0,B42,S
163,890,1,1,1,"Behr, Mr. Karl Howell",male,26.0,0,0,111369,30.0,C148,C
